,Campaign,Regular Giving: Card Id Mundipagg,Regular Giving: Customer Id Mundipagg,Amount Currency,Amount,Close Date,Stage,Created Date,Account ID,One-2-One Object Id,Opportunity & Gift ID,Regular Giving: Record ID
16,Reactivation - 2019 - Soft - Março,card_JDz84QzsOUYJwvP5,cus_z8DOlzKSm0tGdZLo,BRL,60,2020-02-28,Failed,2019-09-29,0011Y00002NzdFx,0031Y00004uEdVx,0061Y00000pek6T,a0D1Y00000zG1vy
17,Direct Dialogue - 2019 - Street - Rio - August,card_kqQgJkUl2c86Y9Z5,cus_VpZ5AgsNJuRBM0Xl,BRL,40,2020-02-28,Failed,2019-09-28,0011Y00002saOna,0031Y00005ozONK,0061Y00000peikE,a0D1Y0000127JpW
18,Telephone - 2018 - Cyber - Baleias - Flex - Setembro,card_ND9yNV2FmQHmyKLa,cus_N4E5qW4TdH9AP1r7,BRL,22,2020-02-28,Failed,2019-09-28,0011Y00002bp16R,0031Y00005QzuED,0061Y00000peiqJ,a0D1Y00000xjakx
19,Direct Dialogue - 2019 - Venues & InCompany - August Melixp,card_X1eOkn0HdKuzMGRE,cus_R5bKo4jhxuLrlpjW,BRL,50,2020-02-28,Failed,2019-09-28,0011Y00002saMx5,0031Y00005ozMBQ,0061Y00000peino,a0D1Y0000127Il5
20,Web - Always On - Advertising - Facebook,card_MO4jaybUosMBLKGn,cus_LYAGmwgkIQu6m0dJ,BRL,42,2020-02-28,Failed,2019-09-28,001i0000020aI7y,003i000004Du7JK,0061Y00000peisc,a0Di000000uVjZz
21,Direct Dialogue - 2019 - Street - São Paulo - August,card_ao1Gng4tnsrX73jO,cus_pDXgeRMCKCyGxw78,BRL,40,2020-02-28,Failed,2019-09-27,0011Y00002saBja,0031Y00005oz6wj,0061Y00000pehni,a0D1Y0000127B3p
22,Direct Dialogue - 2019 - Street - São Paulo - August,card_XlbLwxncLiQa3MJy,cus_vRqzvDYUORi9mKbQ,BRL,40,2020-02-28,Failed,2019-09-27,0011Y00002saBjd,0031Y00005oz6wm,0061Y00000pehnk,a0D1Y0000127B3s
23,Direct Dialogue - 2018 - Travel Team SP - October,card_eVAjapH7JFLlmLdx,cus_aDLB9PeKHxHabZAX,BRL,40,2020-02-28,Failed,2019-09-28,0011Y00002cPFxX,0031Y00005R2hiy,0061Y00000pejOX,a0D1Y00000xtmVN
24,Direct Dialogue - 2018 - Street - São Paulo - October,card_YwVyr6KFvi2vym1K,cus_no9mkgDHZ3imdNlj,BRL,40,2020-02-28,Failed,2019-09-28,0011Y00002cP9AM,0031Y00005R2aNu,0061Y00000pejKX,a0D1Y00000xti5Y
25,Reactivation - 2019 - Hard - Agosto - Action,card_K683BZhAbTdQ39VD,cus_kwWPKaNCvgcmV3yr,BRL,25,2020-02-28,Failed,2019-09-28,0011Y00002blBgl,0031Y00005OII63,0061Y00000pejDV,a0D1Y0000128kWr
26,Direct Dialogue - 2019 - Street - Rio - August,card_l2k1Yp3FP7FoeoOK,cus_nmXWLQ4UDHGKM3bv,BRL,40,2020-02-28,Failed,2019-09-27,0011Y00002saBjf,0031Y00005oz6wo,0061Y00000pehnm,a0D1Y0000127B3u
27,Reactivation - 2019 - Soft - Janeiro,card_RM60d8Df6zIl80YK,cus_DL91xequ8KtooRMK,BRL,45,2020-02-28,Failed,2019-09-28,001i000001tbyxr,003i000003voma0,0061Y00000peivZ,a0D1Y00000yK1eU
28,Direct Dialogue - 2019 - Street - São Paulo - July,card_YQvg0NMCnlFbZ8zP,cus_gEKJaqvfjtYMJbV4,BRL,50,2020-02-28,Failed,2019-09-28,0011Y00002sY5xg,0031Y00005neS0P,0061Y00000peipb,a0D1Y0000125cxZ
29,Direct Dialogue - 2018 - Travel Team RJ - August,card_RZMGymvcp6cvMGw1,cus_YL1PoJjDFMsvoxXW,BRL,42,2020-02-28,Failed,2019-09-28,0011Y00002blvG0,0031Y00005OJ0tp,0061Y00000peilr,a0D1Y00000xhpT6
30,Reactivation - 2019 - Hard - Agosto - Action,card_7kVvoEZhAh9PqbdD,cus_lyK3eO0rt4FQGrRb,BRL,25,2020-02-28,Failed,2019-09-28,001i000001rZIi4,003i000003nrs0p,0061Y00000pejDZ,a0D1Y0000128lq2
31,Direct Dialogue - 2019 - Travel Team SP - April,card_DEko4bKF9zHPyrL1,cus_01Adl0Di3LFj8dRL,BRL,40,2020-02-28,Failed,2019-09-28,0011Y00002nFc0w,0031Y00005jYleV,0061Y00000peiqb,a0D1Y00000zUa9R
32,Direct Dialogue - 2019 - Street - São Paulo - August,card_qp970RT6OTvZmXRV,cus_xdyZj5QSph0Mjeb0,BRL,40,2020-02-28,Failed,2019-09-28,0011Y00002saGyE,0031Y00005ozEGZ,0061Y00000pej12,a0D1Y0000127EcX
33,Direct Dialogue - 2018 - Street - São Paulo - July,card_4GMPVO5sQ0Hpqa1Y,cus_r3LZpYzInMt3JWeR,BRL,47,2020-02-28,Failed,2019-09-28,0011Y00002ZYmd9,0031Y00005JrQ5c,0061Y00000peim5,a0D1Y00000xc7UE
34,Direct Dialogue - 2019 - Street - Rio - August,card_4w2bwO5UnoIN7bZd,cus_KnE8JksNVSrJYydl,BRL,40,2020-02-28,Failed,2019-09-28,0011Y00002saMrH,0031Y00005ozM5Y,0061Y00000pein6,a0D1Y0000127Iib
35,Direct Dialogue - 2019 - Travel Team SP - August,card_Va5Ml53H7AsY098O,cus_o1wLWdpcaur0WXY6,BRL,40,2020-02-28,Failed,2019-09-27,0011Y00002saBkG,0031Y00005oz6xY,0061Y00000pehns,a0D1Y0000127B5S
36,Direct Dialogue - 2019 - Street - Rio - June,card_o7gNAZDHzHV682zQ,cus_ew425QVH1DfBm2NP,BRL,40,2020-02-28,Failed,2019-09-27,0011Y00002rOFlI,0031Y00005lUZiB,0061Y00000pehlK,a0D1Y000010Q9tH
37,Direct Dialogue - 2019 - Travel Team SP - July,card_Kx461JQCYURjXnGy,cus_dM9AKrdJu9cDEk5O,BRL,50,2020-02-28,Failed,2019-09-28,0011Y00002sXpRD,0031Y00005ne4aR,0061Y00000peite,a0D1Y000010BzXq
38,Direct Dialogue - 2019 - Travel Team RJ - May,card_1N9OmlqhkycjGWrE,cus_pd9jvmjcGC8nkyOA,BRL,40,2020-02-28,Failed,2019-09-28,0011Y00002pep4P,0031Y00005lROhX,0061Y00000peis6,a0D1Y000010OqNq
39,Direct Dialogue - 2019 - Travel Team SP - May,card_BnAPM2aC2vHZ6Dq5,cus_mEJLOy5H2fqbOeGg,BRL,40,2020-02-28,Failed,2019-09-28,0011Y00002pep5a,0031Y00005lROij,0061Y00000peis7,a0D1Y000010OqOU
40,Reactivation - 2019 - Hard - Agosto - Action,card_DpEqWbsjKibk7xRj,cus_MYD7Pg3UN3hwRje5,BRL,25,2020-02-28,Failed,2019-09-27,001i000000bA96F,003i000000YTPAP,0061Y00000pehdJ,a0D1Y0000128gHv
41,Telephone - 2019 - Orgânicos - Abelhas - Uranet - Agosto,card_R5nx7LQtJyhnB9m1,cus_dkJ78vXfaphWAzDP,BRL,30,2020-02-28,Failed,2019-09-28,0011Y00002sa8s1,0031Y00005oz3kH,0061Y00000pej3f,a0D1Y00001278Y8
42,Direct Dialogue - 2019 - Street - Rio - August,card_Zp1Oq4fq2tzQnKj0,cus_r1Bx8x6h3UXEP2v6,BRL,40,2020-02-28,Failed,2019-09-27,0011Y00002saACw,0031Y00005oz5Ec,0061Y00000pehrD,a0D1Y00001279CZ
43,Direct Dialogue - 2019 - Street - São Paulo - August,card_0RNkO1LC6i04w2qB,cus_pGPZ1KUBkHEx6qmL,BRL,40,2020-02-28,Failed,2019-09-28,0011Y00002saQT8,0031Y00005ozRZ7,0061Y00000peikX,a0D1Y0000127Ljx
44,Direct Dialogue - 2019 - Travel Team SP - August,card_jqOxjj8HNofZWxXA,cus_Z0VRbKvsYkCV8Wmx,BRL,40,2020-02-28,Failed,2019-09-28,0011Y00002saQTA,0031Y00005ozRZ9,0061Y00000peikY,a0D1Y0000127Ljz
45,Direct Dialogue - 2019 - Street - São Paulo - May,card_LNqMOMrFMh43l6k0,cus_r639ppOFbAf8l9EQ,BRL,40,2020-02-28,Failed,2019-09-28,0011Y00002peirV,0031Y00005lRH9w,0061Y00000pejTm,a0D1Y000010Olxi
46,Direct Dialogue - 2019 - Travel Team SP - March,card_RwDdOaBs1u3nYo95,cus_Q1YxJK1hETnPKNXW,BRL,40,2020-02-28,Failed,2019-09-28,0011Y00002nGobh,0031Y00005grCwQ,0061Y00000pej02,a0D1Y00000zGsnU
47,Direct Dialogue - 2019 - Travel Team RJ - August,card_YEVxbKzigfjD7NO8,cus_7rj8GL7hJiz5KZ4e,BRL,40,2020-02-28,Failed,2019-09-28,0011Y00002saOEI,0031Y00005ozNbZ,0061Y00000peio7,a0D1Y0000127JSw
48,Direct Dialogue - 2019 - Street - São Paulo - August,card_V8EY0yb2hAidq9oG,cus_eRYV7Kec5FMyV8ga,BRL,40,2020-02-28,Failed,2019-09-28,0011Y00002saOEK,0031Y00005ozNbb,0061Y00000peio9,a0D1Y0000127JSy
49,Telephone - 2019 - Filiados - Florestas - Flex - Maio,card_8DXJAdsrRhyZbGqE,cus_g0qOKKS3PIpeOYor,BRL,30,2020-02-28,Failed,2019-09-28,0011Y00002peisy,0031Y00005lRHB2,0061Y00000peisB,a0D1Y000010Opus
50,Direct Dialogue - 2019 - Street - São Paulo - May,card_1DwyJwKfVataxWYX,cus_On147bkSp5hEDmxA,BRL,40,2020-02-28,Failed,2019-09-28,0011Y00002pep6F,0031Y00005lROjM,0061Y00000peisH,a0D1Y000010OqOp
51,Email - Always On - SJ - Institucional,card_pz6WJxYCBktd425J,cus_LvoenBofAbfGe1BV,BRL,200,2020-02-28,Failed,2019-09-28,001i000001rkWTc,003i000003mzpeY,0061Y00000peisL,a0D1Y000010Olfw
52,Reactivation - 2019 - Hard - Julho - Enriquecimento,card_oO0eQojiE4tZl5aK,cus_jxnDdGMpi5TA8qp3,BRL,25,2020-02-28,Failed,2019-09-27,0011Y00002SvCy1,0031Y000056vSVI,0061Y00000pehco,a0D1Y0000128gHR
53,Direct Dialogue - 2019 - Street - São Paulo - August,card_xoyE6wqsZQfovk9X,cus_Zz7RgOYIruG6Ra10,BRL,40,2020-02-28,Failed,2019-09-27,0011Y00002saADa,0031Y00005oz5F3,0061Y00000pehrK,a0D1Y00001279D5
54,Reactivation - 2019 - Hard - Agosto - Action,card_8KjOEm5Cl8HLElra,cus_V25AGmmSLRCp986e,BRL,25,2020-02-28,Failed,2019-09-28,001i0000024PADa,003i000004Kt8R5,0061Y00000peiqv,a0D1Y0000128k7f
55,Telephone - 2019 - Orgânicos - Oceanos - Flex - Julho,card_dn95ob8i2S3nAqa3,cus_bOp7blS2kFaxqGME,BRL,20,2020-02-28,Failed,2019-09-28,0011Y00002ZX0ur,0031Y00005Jpu8v,0061Y00000pejCS,a0D1Y0000125b3F
56,Direct Dialogue - 2019 - Street - Rio - August,card_08OjmKKtDKu0VLxv,cus_AjVpvNu0Lh6wpXKn,BRL,40,2020-02-28,Failed,2019-09-28,0011Y00002saHll,0031Y00005ozFDH,0061Y00000pej1H,a0D1Y0000127F1P
57,Telephone - 2018 - Ficha - Corais - Flex,card_746Ykk7Iyf70YKjX,cus_gA8njzuweUgJn0De,BRL,22,2020-02-28,Failed,2019-09-28,0011Y00002YDxJK,0031Y00005Jowsu,0061Y00000pejEo,a0D1Y00000xaYsw
58,Telephone - 2019 - Orgânicos - Abelhas - Uranet - Agosto,card_wNEzy4OFvOcG6rB4,cus_r4ZAgQq0hwCRg2ev,BRL,30,2020-02-28,Failed,2019-09-28,0011Y00002saCqP,0031Y00005oz85Y,0061Y00000pej3r,a0D1Y0000127Bit
59,Direct Dialogue - 2019 - Street - Rio - August,card_gYKnlrvuoFQWAWyR,cus_4NzVlWzSEU3r8vW0,BRL,40,2020-02-28,Failed,2019-09-28,0011Y00002saCqf,0031Y00005oz85t,0061Y00000pej3u,a0D1Y0000127Bj2
60,Telephone - 2018 - Cyber - Antártida - Flex - Dezembro,card_W1ELv0jHOu3OmRxd,cus_LlkvNww4cvcxNEd0,BRL,20,2020-02-28,Failed,2019-09-27,0011Y00002fawNA,0031Y00005a4Far,0061Y00000pehlc,a0D1Y00000xwrHH
61,Direct Dialogue - 2019 - Street - São Paulo - August,card_preOZjrUzhndZdY3,cus_WrpJlnEhqUPeA0Xx,BRL,40,2020-02-28,Failed,2019-09-27,0011Y00002saACD,0031Y00005oz5E0,0061Y00000pehrX,a0D1Y00001279CE
62,Telephone - 2019 - Orgânicos - Abelhas - Flex - Agosto,card_PEJmP8WTXyiJm1qb,cus_zn3Gv9nDU3CjEplw,BRL,60,2020-02-28,Failed,2019-09-28,0011Y00002saQVU,0031Y00005ozRba,0061Y00000peiio,a0D1Y0000127LlB
63,Direct Dialogue - 2019 - Travel Team RJ - August,card_n4r6JgPhbI8EjqL9,cus_jAVB57c9eiGGpm3N,BRL,40,2020-02-28,Failed,2019-09-28,0011Y00002saMrF,0031Y00005ozM52,0061Y00000peikk,a0D1Y0000127Lsd
64,Direct Dialogue - 2019 - Travel Team RJ - August,card_Jn7NpyXTqPhLkvdY,cus_B5P2X4YsY3I9v20D,BRL,40,2020-02-28,Failed,2019-09-28,0011Y00002saFQn,0031Y00005ozCUd,0061Y00000pej0H,a0D1Y0000127DrV
65,Direct Dialogue - 2019 - Travel Team SP - August,card_pMO9vZqhwTj190q2,cus_45OEx7XImc3MpGe0,BRL,40,2020-02-28,Failed,2019-09-28,0011Y00002saHmk,0031Y00005ozFDw,0061Y00000pej1M,a0D1Y0000127F1b
66,Direct Dialogue - 2019 - Travel Team SP - January,card_KnpmrpDcDtgVRbq9,cus_ADJb3e0HOGsOYkOR,BRL,45,2020-02-28,Failed,2019-09-28,0011Y00002ipEWu,0031Y00005a7g2O,0061Y00000pejQ3,a0D1Y00000yJveK
67,Telephone - 2018 - Cyber - Antártida - Flex - Novembro,card_kvelaOEtJFB257Pw,cus_GmqJGros29skN6p0,BRL,22,2020-02-28,Failed,2019-09-27,0011Y00002cPr7x,0031Y00005R3InH,0061Y00000pehcy,a0D1Y00000xuAkt
68,Direct Dialogue - 2017 - Travel Team RJ - November,card_3PevXdZSXu2qvOE8,cus_YgKJBZHGEFgYJWyb,BRL,42,2020-02-28,Failed,2019-09-28,0011Y00002NyO0c,0031Y00004uDUtH,0061Y00000peisy,a0D1Y00000wuDJj
69,Direct Dialogue - 2019 - Street - Rio - July,card_w25mzBkDUBCK1nEQ,cus_Dwel5ZmcrRtv3AbY,BRL,40,2020-02-28,Failed,2019-09-28,0011Y00002sXpSG,0031Y00005ne4bn,0061Y00000peitv,a0D1Y000010BzYY
70,Direct Dialogue - 2019 - Travel Team RJ - August,card_qoLEme5F6JuwEJ6N,cus_YW082b5UExUYL8dJ,BRL,40,2020-02-28,Failed,2019-09-28,0011Y00002saSS3,0031Y00005ozTkK,0061Y00000peiis,a0D1Y0000127MEh
71,Direct Dialogue - 2019 - Street - Rio - August,card_PQb2vkBiJrTbWnrD,cus_RmMqezyt9wiwPvL1,BRL,40,2020-02-28,Failed,2019-09-28,0011Y00002saSSf,0031Y00005ozTl1,0061Y00000peiit,a0D1Y0000127MEk
72,Direct Dialogue - 2018 - Travel Team RJ - August,card_Wa8AEPg4T9iodBob,cus_B8oJrk6WIefx05gZ,BRL,42,2020-02-28,Failed,2019-09-28,0011Y00002bm1XI,0031Y00005OJAzG,0061Y00000peijm,a0D1Y00000xhtmD
73,Reactivation - 2019 - Hard - Agosto - Action,card_ywjGkLLszjtZEPpb,cus_39P8gZPcjQHwxydQ,BRL,25,2020-02-28,Failed,2019-09-28,0011Y00002SvVPB,0031Y000056vdQp,0061Y00000peiqy,a0D1Y0000128k7u
74,Reactivation - 2019 - Hard - Agosto - Action,card_ND4ojxfkwhD28O2n,cus_Qy69REQiEs11R3X0,BRL,25,2020-02-28,Failed,2019-09-28,0011Y00002LyOcd,0031Y00004vsAoE,0061Y00000peiqz,a0D1Y0000128k7z
75,Direct Dialogue - 2019 - Venues & InCompany - August Digitalks,card_YB1paawh2RurpLRM,cus_Dw8ZbD5hB0SbJVE9,BRL,50,2020-02-28,Failed,2019-09-28,0011Y00002saFRL,0031Y00005ozCVD,0061Y00000pej0Q,a0D1Y0000127Drt
76,Direct Dialogue - 2018 - Travel Team SP - January,card_aEqpgKLHkMtdp5Qe,cus_21lo8JEUvLHywKLg,BRL,45,2020-02-28,Failed,2019-09-28,0011Y00002Rgijy,0031Y00004vtkaH,0061Y00000pejWr,a0D1Y00000wBAfx
77,Telephone - 2019 - Listas - SJ 2019 35+ - Flex - Janeiro,card_edvKyNWQsVf362Po,cus_2pZB1GLtlC4WK0Jx,BRL,20,2020-02-28,Failed,2019-09-28,0011Y00002iomQ9,0031Y00005a71B2,0061Y00000peivN,a0D1Y00000yJcB7
78,Telephone - 2019 - Filiados - Abelhas - Flex - Junho,card_jqdVnawiVUG29Obk,cus_QjZmY07tNrCBvDxy,BRL,60,2020-02-28,Failed,2019-09-28,0011Y00002rOINh,0031Y00005lUdht,0061Y00000pejH1,a0D1Y000010QCLj
79,Direct Dialogue - 2019 - Street - São Paulo - February,card_9Y1Z12kCd3h7g5m8,cus_nAokraGhNKs0D2Rd,BRL,40,2020-02-28,Failed,2019-09-28,0011Y00002ir382,0031Y00005dwh82,0061Y00000pejL5,a0D1Y00000yL9iZ
80,Direct Dialogue - 2019 - Street - Rio - August,card_1dEaZb6sQxSKZvJB,cus_G4PlgLDridH3gME5,BRL,40,2020-02-28,Failed,2019-09-28,0011Y00002saI1W,0031Y00005ozFUZ,0061Y00000pej0W,a0D1Y0000127F8c
81,Direct Dialogue - 2019 - Travel Team SP - August,card_N3yx1zIpbFNaEARb,cus_4OrK4mFqMCwBA9me,BRL,40,2020-02-28,Failed,2019-09-28,0011Y00002saHqE,0031Y00005ozFHk,0061Y00000pej1X,a0D1Y0000127F3E
82,Direct Dialogue - 2019 - Venues & InCompany - August Melixp,card_kyQ2v4Ws7GIkaox1,cus_WQZEbMGc7rHwmnXk,BRL,50,2020-02-28,Failed,2019-09-28,0011Y00002saMqj,0031Y00005ozM4x,0061Y00000peip0,a0D1Y0000127IiG
83,Direct Dialogue - 2019 - Street - Rio - August,card_4p2DgZEFOxTRVnyl,cus_go4Zx9wTMaiPzGza,BRL,40,2020-02-28,Failed,2019-09-28,001i000001xeRQF,003i0000042wFyE,0061Y00000pej41,a0D1Y0000127VJY
84,Direct Dialogue - 2019 - Street - Rio - July,card_QjVJMwnHjS5elp1G,cus_DK8AOZHrBUoKegbV,BRL,40,2020-02-28,Failed,2019-09-28,0011Y00002qubQj,0031Y00005ndEdV,0061Y00000pei8z,a0D1Y000010Biix
85,Direct Dialogue - 2019 - Travel Team SP - June,card_32Arla4cDRu4p0av,cus_OD0YQ0CA0SRBgJBq,BRL,40,2020-02-28,Failed,2019-09-28,0011Y00002rOJgx,0031Y00005lUfGy,0061Y00000pejH6,a0D1Y000010QCyc
86,Direct Dialogue - 2019 - Travel Team RJ - June,card_BV3z0kbUBYfPA864,cus_DbvAXGgfYru67nLk,BRL,40,2020-02-28,Failed,2019-09-28,0011Y00002rOKwa,0031Y00005lUgrh,0061Y00000pej8C,a0D1Y000010QDa2
87,Direct Dialogue - 2019 - Travel Team SP - May,card_MRQxgzYcdgH5rgz5,cus_vBnAkeWuXcyl1bm5,BRL,40,2020-02-28,Failed,2019-09-28,0011Y00002pebJX,0031Y00005lR6vo,0061Y00000pejMQ,a0D1Y000010OhUe
88,Telephone - 2019 - Filiados - Florestas - Actual - Flex - Abril,card_Z9dGDW3FPwIVXWoj,cus_0BD8xkzigcN9L5Md,BRL,25,2020-02-28,Failed,2019-09-28,0011Y00002peT66,0031Y00005lQw3e,0061Y00000pejMT,a0D1Y00000zW5ji
